TREE,YEAR,MONTH,hv,blk,wilt,loss,can,flu,flw,ty,sml,lrg,pcp,maxt,mint,midt,smi,lmi
38,90,11,91,5,5,0,4,1,2,0,0,1,"0,58","33,85","20,63","27,24","0,69","0,55"
40,83,11,82,32,0,9,2,1,2,3,0,3,"1,43","32,24","20,7","26,47","0,84","0,6"
42,89,12,39,0,0,0,3,1,2,2,3,2,"1,39","31,97","20,34","26,15","0,76","0,73"
43,84,10,7,0,0,0,3,1,1,0,0,2,"7,95","31,64","21,04","26,34","0,98","0,94"
44,77,11,7,1,0,0,2,1,1,0,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
45,84,10,25,10,1,1,2,1,2,4,3,3,"7,95","31,64","21,04","26,34","0,98","0,94"
46,84,10,46,34,4,2,2,1,2,9,5,33,"7,95","31,64","21,04","26,34","0,98","0,94"
48,89,1,19,0,0,0,4,1,2,0,1,0,0,"32,98","17,61","25,3","0,67","0,21"
51,89,1,37,0,2,0,3,1,1,0,2,2,0,"32,98","17,61","25,3","0,67","0,21"
52,94,11,24,0,2,0,4,1,2,1,1,2,"1,63","32,13","20,78","26,45","0,94","0,76"
53,94,10,14,0,2,0,4,3,3,5,2,5,"7,71","30,92","20,99","25,96","0,98","0,93"
54,88,1,33,1,2,0,3,1,2,0,1,2,0,"33,33","18,7","26,01","0,51","0,08"
55,77,11,18,0,1,0,1,1,2,5,1,3,"1,22","32,92","21,33","27,13","0,91","0,8"
58,81,11,34,1,5,1,1,1,2,1,3,10,"1,05","32,19","20,23","26,21","0,91","0,72"
59,94,11,16,0,2,0,4,1,2,1,0,1,"1,63","32,13","20,78","26,45","0,94","0,76"
60,85,12,23,0,0,0,2,1,2,4,4,3,"0,29","31,37","18,45","24,91","0,77","0,41"
61,77,11,9,0,1,1,3,1,1,1,0,2,"1,22","32,92","21,33","27,13","0,91","0,8"
62,93,10,12,0,0,0,4,3,3,1,1,8,"7,58","32,18","21,1","26,64","0,98","0,94"
63,79,11,13,3,0,0,3,1,1,0,0,0,"2,91","32,32","21,08","26,7","0,9","0,82"
64,77,11,22,0,0,0,2,1,1,2,1,0,"1,22","32,92","21,33","27,13","0,91","0,8"
65,91,10,41,0,12,1,3,1,3,0,0,19,"4,93","30,76","19,95","25,36","0,95","0,88"
66,91,10,49,0,0,0,3,1,3,0,0,21,"4,93","30,76","19,95","25,36","0,95","0,88"
67,94,11,10,0,0,0,4,1,2,1,0,2,"1,63","32,13","20,78","26,45","0,94","0,76"
69,91,10,19,0,1,0,3,1,3,0,1,9,"4,93","30,76","19,95","25,36","0,95","0,88"
70,81,11,30,10,2,0,2,1,2,3,2,10,"1,05","32,19","20,23","26,21","0,91","0,72"
71,83,11,102,1,3,2,2,1,2,0,1,6,"1,43","32,24","20,7","26,47","0,84","0,6"
72,77,11,19,0,0,0,1,1,4,5,4,3,"1,22","32,92","21,33","27,13","0,91","0,8"
76,86,10,18,0,2,0,3,2,2,2,1,14,"4,24","31,08","21,12","26,1","0,9","0,85"
78,87,11,19,8,2,0,2,1,2,1,0,2,"0,45","33,62","21,47","27,55","0,89","0,61"
79,94,11,28,0,4,0,4,1,2,1,2,3,"1,63","32,13","20,78","26,45","0,94","0,76"
80,82,11,26,3,2,0,2,3,4,4,2,6,"1,7","31,96","20,53","26,24","0,93","0,82"
82,80,12,6,6,1,0,2,1,2,1,0,0,"0,78","31,49","18,52",25,"0,88","0,64"
84,85,12,37,1,1,0,3,1,2,6,3,9,"0,29","31,37","18,45","24,91","0,77","0,41"
85,80,11,24,2,0,1,3,3,2,1,1,0,"2,26","32,35","20,43","26,39","0,97","0,92"
88,88,1,23,0,1,0,3,1,1,0,0,0,0,"33,33","18,7","26,01","0,51","0,08"
90,94,10,4,0,1,0,4,4,2,0,0,1,"7,71","30,92","20,99","25,96","0,98","0,93"
91,83,11,15,0,0,0,2,1,3,6,1,3,"1,43","32,24","20,7","26,47","0,84","0,6"
93,82,11,22,7,0,0,2,2,3,4,0,6,"1,7","31,96","20,53","26,24","0,93","0,82"
95,89,1,53,0,1,0,3,1,2,0,1,0,0,"32,98","17,61","25,3","0,67","0,21"
97,79,12,15,0,0,0,2,4,4,1,3,1,"0,02","31,7","20,17","25,94","0,85","0,58"
98,89,1,38,0,2,0,3,1,2,1,0,0,0,"32,98","17,61","25,3","0,67","0,21"
99,89,1,30,0,0,0,3,1,2,0,1,3,0,"32,98","17,61","25,3","0,67","0,21"
101,83,11,74,58,2,4,2,1,1,0,0,8,"1,43","32,24","20,7","26,47","0,84","0,6"
109,94,10,7,0,2,0,4,4,2,0,0,2,"7,71","30,92","20,99","25,96","0,98","0,93"
112,88,11,35,4,3,0,2,1,3,4,6,26,"4,35","31,92","20,71","26,31","0,98","0,91"
114,82,12,36,0,1,1,1,1,3,14,9,1,"1,02","31,97","19,99","25,98","0,75","0,51"
115,91,11,42,0,1,0,3,1,2,1,0,1,"1,31","32,06","19,82","25,94","0,91","0,76"
116,82,11,22,4,2,1,2,2,3,1,1,1,"1,7","31,96","20,53","26,24","0,93","0,82"
117,77,11,43,0,2,0,1,2,2,2,2,10,"1,22","32,92","21,33","27,13","0,91","0,8"
118,85,12,20,0,6,0,3,1,3,9,11,6,"0,29","31,37","18,45","24,91","0,77","0,41"
119,89,11,59,1,1,1,2,1,3,3,4,5,"1,25","32,96","21,1","27,03","0,87","0,74"
120,89,1,43,0,0,0,3,1,2,1,0,0,0,"32,98","17,61","25,3","0,67","0,21"
123,77,11,26,0,6,3,2,1,2,3,4,10,"1,22","32,92","21,33","27,13","0,91","0,8"
125,89,12,21,0,0,0,3,1,2,0,0,1,"1,39","31,97","20,34","26,15","0,76","0,73"
126,82,11,39,23,1,2,2,3,4,6,0,5,"1,7","31,96","20,53","26,24","0,93","0,82"
128,91,11,46,0,0,0,4,1,2,0,0,1,"1,31","32,06","19,82","25,94","0,91","0,76"
129,89,1,13,0,0,0,3,1,1,0,0,0,0,"32,98","17,61","25,3","0,67","0,21"
130,89,1,15,0,1,0,3,1,2,2,1,0,0,"32,98","17,61","25,3","0,67","0,21"
131,89,10,8,0,5,0,3,1,3,2,1,4,"6,4","31,26","21,15","26,2","0,99","0,96"
132,85,1,45,0,0,0,3,1,1,0,0,1,"1,86","33,07","19,76","26,42","0,59","0,29"
134,89,11,47,0,7,0,3,1,4,6,14,18,"1,25","32,96","21,1","27,03","0,87","0,74"
135,82,11,18,7,0,3,2,2,2,0,0,1,"1,7","31,96","20,53","26,24","0,93","0,82"
136,83,11,33,31,0,10,2,1,2,1,0,10,"1,43","32,24","20,7","26,47","0,84","0,6"
139,82,11,13,2,0,0,3,1,1,0,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
140,78,11,46,0,0,0,1,1,4,8,4,2,"2,52","32,34","20,39","26,37","0,96","0,85"
141,82,11,51,10,0,0,2,3,3,3,0,6,"1,7","31,96","20,53","26,24","0,93","0,82"
142,85,12,21,0,0,0,2,1,2,1,0,0,"0,29","31,37","18,45","24,91","0,77","0,41"
143,82,11,20,5,0,3,2,3,2,0,1,2,"1,7","31,96","20,53","26,24","0,93","0,82"
145,79,11,28,0,0,0,2,1,1,0,0,3,"2,91","32,32","21,08","26,7","0,9","0,82"
146,83,11,15,0,0,3,2,1,1,0,0,1,"1,43","32,24","20,7","26,47","0,84","0,6"
147,80,12,23,0,0,0,3,1,1,0,0,0,"0,78","31,49","18,52",25,"0,88","0,64"
148,91,11,11,0,1,0,4,1,2,0,1,1,"1,31","32,06","19,82","25,94","0,91","0,76"
149,89,12,57,1,0,0,2,1,3,1,4,7,"1,39","31,97","20,34","26,15","0,76","0,73"
150,91,1,27,0,0,0,4,1,1,0,0,0,"0,75","33,25","20,25","26,75","0,72","0,47"
153,77,11,14,0,0,0,3,2,2,2,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
156,81,12,14,0,0,4,3,1,2,0,0,0,"0,25","32,84","20,88","26,86","0,7","0,25"
157,83,11,14,17,0,2,2,1,3,2,1,0,"1,43","32,24","20,7","26,47","0,84","0,6"
158,94,10,76,0,6,0,4,4,4,9,8,27,"7,71","30,92","20,99","25,96","0,98","0,93"
159,78,9,9,3,9,0,3,1,1,0,1,3,"3,86","30,29","20,92","25,6","0,58","0,64"
160,85,12,42,0,0,0,3,1,2,3,1,4,"0,29","31,37","18,45","24,91","0,77","0,41"
162,77,11,64,0,6,0,1,1,1,0,0,10,"1,22","32,92","21,33","27,13","0,91","0,8"
163,79,11,22,1,4,0,1,1,2,2,2,11,"2,91","32,32","21,08","26,7","0,9","0,82"
164,81,12,26,0,0,0,2,1,1,0,0,0,"0,25","32,84","20,88","26,86","0,7","0,25"
166,94,10,25,0,0,0,4,4,2,0,0,4,"7,71","30,92","20,99","25,96","0,98","0,93"
168,89,12,56,0,0,0,2,1,3,1,2,0,"1,39","31,97","20,34","26,15","0,76","0,73"
171,94,10,27,0,3,0,4,4,3,1,1,7,"7,71","30,92","20,99","25,96","0,98","0,93"
172,86,10,44,0,3,0,2,1,2,2,2,35,"4,24","31,08","21,12","26,1","0,9","0,85"
173,78,9,21,0,4,1,2,1,1,0,0,15,"3,86","30,29","20,92","25,6","0,58","0,64"
174,94,10,80,0,6,0,4,4,4,6,7,14,"7,71","30,92","20,99","25,96","0,98","0,93"
175,91,11,24,0,0,0,3,1,2,0,0,3,"1,31","32,06","19,82","25,94","0,91","0,76"
176,91,11,15,0,0,0,4,1,2,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
177,78,11,22,0,0,1,2,1,3,5,1,1,"2,52","32,34","20,39","26,37","0,96","0,85"
178,89,12,11,0,1,0,3,1,3,0,3,4,"1,39","31,97","20,34","26,15","0,76","0,73"
179,89,1,31,0,2,0,3,1,2,2,6,8,0,"32,98","17,61","25,3","0,67","0,21"
183,80,12,9,0,1,0,3,1,3,5,4,0,"0,78","31,49","18,52",25,"0,88","0,64"
185,77,11,19,0,0,0,1,1,2,0,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
186,83,11,35,19,1,0,2,1,2,3,0,16,"1,43","32,24","20,7","26,47","0,84","0,6"
187,77,11,54,0,0,4,1,1,2,1,2,3,"1,22","32,92","21,33","27,13","0,91","0,8"
188,89,11,19,0,0,1,3,2,3,1,2,2,"1,25","32,96","21,1","27,03","0,87","0,74"
189,89,12,32,0,0,0,3,1,2,0,0,0,"1,39","31,97","20,34","26,15","0,76","0,73"
192,78,9,15,1,0,0,3,1,1,0,0,7,"3,86","30,29","20,92","25,6","0,58","0,64"
193,82,12,34,12,0,1,3,1,2,3,0,0,"1,02","31,97","19,99","25,98","0,75","0,51"
196,83,11,63,46,0,12,2,1,2,2,1,1,"1,43","32,24","20,7","26,47","0,84","0,6"
197,91,11,26,0,2,0,4,1,1,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
199,91,11,41,0,2,0,4,1,2,1,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
200,77,11,26,0,0,0,2,1,1,1,0,2,"1,22","32,92","21,33","27,13","0,91","0,8"
201,78,11,15,0,0,0,2,1,4,24,12,0,"2,52","32,34","20,39","26,37","0,96","0,85"
202,80,9,24,0,0,0,1,1,1,0,0,2,"7,62","30,38","22,24","26,31","0,99","0,96"
203,77,11,10,0,0,1,2,1,3,1,0,2,"1,22","32,92","21,33","27,13","0,91","0,8"
210,79,12,16,0,0,0,1,1,1,0,0,0,"0,02","31,7","20,17","25,94","0,85","0,58"
211,77,11,50,0,0,0,1,1,2,2,1,1,"1,22","32,92","21,33","27,13","0,91","0,8"
216,89,1,34,0,2,0,3,1,2,2,3,18,0,"32,98","17,61","25,3","0,67","0,21"
217,77,11,48,0,0,0,1,1,2,3,1,2,"1,22","32,92","21,33","27,13","0,91","0,8"
220,91,11,20,0,0,0,4,1,2,3,2,1,"1,31","32,06","19,82","25,94","0,91","0,76"
222,89,1,18,0,0,0,4,1,1,0,1,0,0,"32,98","17,61","25,3","0,67","0,21"
224,89,1,47,0,0,0,4,1,2,0,0,1,0,"32,98","17,61","25,3","0,67","0,21"
249,77,11,21,0,0,0,2,2,2,5,2,3,"1,22","32,92","21,33","27,13","0,91","0,8"
251,77,11,21,0,2,1,2,2,2,2,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
253,78,11,3,0,0,0,2,1,2,6,1,0,"2,52","32,34","20,39","26,37","0,96","0,85"
254,89,1,57,0,4,0,3,1,2,1,3,3,0,"32,98","17,61","25,3","0,67","0,21"
256,80,9,10,7,6,0,2,1,1,0,2,12,"7,62","30,38","22,24","26,31","0,99","0,96"
263,91,11,18,0,0,0,5,1,1,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
264,82,11,10,4,0,0,3,4,2,2,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
265,77,11,13,0,0,0,2,2,1,1,1,0,"1,22","32,92","21,33","27,13","0,91","0,8"
266,78,9,3,0,3,1,4,1,1,0,0,1,"3,86","30,29","20,92","25,6","0,58","0,64"
267,82,11,14,5,0,1,3,4,2,2,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
268,82,11,13,4,0,0,3,3,1,0,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
271,89,1,16,0,1,0,3,1,1,0,0,1,0,"32,98","17,61","25,3","0,67","0,21"
272,89,12,14,0,0,0,3,1,3,2,5,2,"1,39","31,97","20,34","26,15","0,76","0,73"
273,78,11,29,0,0,2,2,1,3,6,2,0,"2,52","32,34","20,39","26,37","0,96","0,85"
274,84,11,30,2,0,2,2,1,1,0,0,1,"1,73","32,24","20,92","26,58","0,93","0,84"
275,82,11,24,0,0,0,2,3,3,3,1,0,"1,7","31,96","20,53","26,24","0,93","0,82"
277,85,12,9,0,0,0,3,1,1,0,0,0,"0,29","31,37","18,45","24,91","0,77","0,41"
278,77,11,8,0,0,0,1,2,2,1,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
279,89,1,55,0,2,1,3,1,2,0,2,2,0,"32,98","17,61","25,3","0,67","0,21"
280,85,1,37,0,2,0,2,1,1,1,2,4,"1,86","33,07","19,76","26,42","0,59","0,29"
283,91,11,61,0,1,0,3,1,2,1,2,0,"1,31","32,06","19,82","25,94","0,91","0,76"
285,77,11,24,1,0,0,1,2,1,0,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
286,81,10,17,17,2,2,2,1,1,0,0,6,"3,89","32,21","21,15","26,68","0,91","0,86"
287,77,11,13,0,0,0,2,2,1,1,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
288,91,11,14,0,0,0,3,1,2,1,0,2,"1,31","32,06","19,82","25,94","0,91","0,76"
289,80,9,10,8,6,0,2,1,1,0,2,13,"7,62","30,38","22,24","26,31","0,99","0,96"
290,77,11,17,0,0,1,2,2,2,0,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
291,77,11,13,0,0,1,1,2,1,0,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
292,81,12,10,0,1,1,2,2,3,2,1,0,"0,25","32,84","20,88","26,86","0,7","0,25"
293,77,11,30,0,0,0,1,2,3,1,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
297,91,11,24,0,0,0,4,1,1,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
298,91,11,26,0,0,0,3,1,2,0,1,1,"1,31","32,06","19,82","25,94","0,91","0,76"
299,89,12,17,0,0,0,2,1,2,2,1,1,"1,39","31,97","20,34","26,15","0,76","0,73"
300,77,11,6,0,1,0,1,2,1,0,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
301,92,10,23,0,0,1,4,3,3,1,1,5,"5,77","31,83","20,77","26,3","0,96","0,93"
303,82,11,16,0,1,0,3,3,5,8,3,1,"1,7","31,96","20,53","26,24","0,93","0,82"
304,82,11,16,5,0,1,3,3,2,0,0,1,"1,7","31,96","20,53","26,24","0,93","0,82"
305,91,1,18,0,1,0,3,1,2,1,0,0,"0,75","33,25","20,25","26,75","0,72","0,47"
306,93,10,6,0,2,0,4,1,2,2,1,2,"7,58","32,18","21,1","26,64","0,98","0,94"
307,85,12,3,0,0,0,3,1,1,0,0,1,"0,29","31,37","18,45","24,91","0,77","0,41"
308,78,9,9,0,1,0,3,1,1,0,0,1,"3,86","30,29","20,92","25,6","0,58","0,64"
309,82,11,14,5,0,0,2,3,2,1,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
310,89,11,9,0,2,4,3,2,3,3,1,1,"1,25","32,96","21,1","27,03","0,87","0,74"
311,85,12,7,0,0,0,4,1,1,0,0,0,"0,29","31,37","18,45","24,91","0,77","0,41"
312,77,11,24,0,0,0,2,2,2,2,0,3,"1,22","32,92","21,33","27,13","0,91","0,8"
313,92,10,17,0,0,0,4,2,2,3,1,1,"5,77","31,83","20,77","26,3","0,96","0,93"
314,79,12,20,0,0,0,1,1,3,3,4,3,"0,02","31,7","20,17","25,94","0,85","0,58"
320,93,10,23,0,0,0,4,1,2,1,0,2,"7,58","32,18","21,1","26,64","0,98","0,94"
321,91,1,17,0,0,0,4,1,2,0,0,0,"0,75","33,25","20,25","26,75","0,72","0,47"
322,86,9,13,0,0,0,3,1,1,0,0,1,"4,96","30,2","21,4","25,8","0,9","0,85"
323,91,11,21,0,0,0,4,1,1,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
324,89,12,10,0,0,0,4,1,2,0,0,0,"1,39","31,97","20,34","26,15","0,76","0,73"
325,94,10,27,0,0,0,4,4,3,2,2,7,"7,71","30,92","20,99","25,96","0,98","0,93"
327,83,11,29,6,0,4,2,1,2,0,0,2,"1,43","32,24","20,7","26,47","0,84","0,6"
328,82,11,15,2,0,0,2,4,3,5,1,0,"1,7","31,96","20,53","26,24","0,93","0,82"
329,93,10,2,0,0,0,5,1,1,0,0,0,"7,58","32,18","21,1","26,64","0,98","0,94"
330,89,11,9,0,0,0,3,1,2,1,0,2,"1,25","32,96","21,1","27,03","0,87","0,74"
331,89,11,6,0,1,0,4,1,1,0,0,3,"1,25","32,96","21,1","27,03","0,87","0,74"
332,94,10,10,0,0,0,4,1,2,0,0,1,"7,71","30,92","20,99","25,96","0,98","0,93"
336,94,10,33,0,5,0,4,4,3,4,6,8,"7,71","30,92","20,99","25,96","0,98","0,93"
338,77,11,52,0,0,0,2,2,2,0,1,4,"1,22","32,92","21,33","27,13","0,91","0,8"
339,90,11,38,1,13,0,3,1,2,0,1,0,"0,58","33,85","20,63","27,24","0,69","0,55"
340,79,11,24,6,0,0,1,1,1,0,0,1,"2,91","32,32","21,08","26,7","0,9","0,82"
347,83,11,10,3,1,5,2,1,2,3,0,1,"1,43","32,24","20,7","26,47","0,84","0,6"
348,85,10,8,0,0,2,3,1,1,0,0,0,"9,88","31,64","20,54","26,09","0,98","0,95"
349,87,11,6,0,0,0,3,1,1,0,0,0,"0,45","33,62","21,47","27,55","0,89","0,61"
350,94,10,16,0,0,0,4,4,2,0,0,3,"7,71","30,92","20,99","25,96","0,98","0,93"
351,77,11,10,0,0,2,1,2,1,0,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
352,91,11,22,0,0,0,4,1,1,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
353,88,1,17,0,0,0,3,1,1,0,0,0,0,"33,33","18,7","26,01","0,51","0,08"
354,85,12,17,0,0,0,3,1,1,0,0,0,"0,29","31,37","18,45","24,91","0,77","0,41"
355,94,10,19,0,0,0,4,4,2,0,0,5,"7,71","30,92","20,99","25,96","0,98","0,93"
361,82,11,24,1,0,0,3,4,2,3,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
364,88,11,10,0,2,0,4,1,2,2,1,2,"4,35","31,92","20,71","26,31","0,98","0,91"
365,81,12,25,0,0,1,2,1,2,0,0,1,"0,25","32,84","20,88","26,86","0,7","0,25"
366,82,11,29,0,0,0,3,3,2,1,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
368,91,1,21,0,0,0,4,1,2,1,0,0,"0,75","33,25","20,25","26,75","0,72","0,47"
369,83,11,8,2,0,1,2,1,2,0,0,1,"1,43","32,24","20,7","26,47","0,84","0,6"
370,83,11,19,0,0,1,2,1,3,10,1,4,"1,43","32,24","20,7","26,47","0,84","0,6"
371,81,12,27,0,1,0,2,1,2,6,3,3,"0,25","32,84","20,88","26,86","0,7","0,25"
372,91,11,30,0,0,1,3,1,2,0,0,0,"1,31","32,06","19,82","25,94","0,91","0,76"
373,77,11,17,0,0,2,2,2,2,1,0,3,"1,22","32,92","21,33","27,13","0,91","0,8"
378,82,11,15,5,5,1,2,2,3,4,1,2,"1,7","31,96","20,53","26,24","0,93","0,82"
379,93,10,18,0,0,0,4,1,2,1,1,2,"7,58","32,18","21,1","26,64","0,98","0,94"
380,89,12,6,0,1,0,4,1,2,3,1,0,"1,39","31,97","20,34","26,15","0,76","0,73"
381,82,11,31,3,0,4,2,3,3,3,0,1,"1,7","31,96","20,53","26,24","0,93","0,82"
382,82,11,9,3,0,1,3,4,1,0,0,0,"1,7","31,96","20,53","26,24","0,93","0,82"
383,94,10,20,0,4,0,4,4,2,1,1,3,"7,71","30,92","20,99","25,96","0,98","0,93"
389,77,11,10,0,0,1,2,2,1,2,0,1,"1,22","32,92","21,33","27,13","0,91","0,8"
391,77,11,19,0,0,0,3,2,2,3,0,0,"1,22","32,92","21,33","27,13","0,91","0,8"
392,82,11,46,2,0,1,2,1,2,3,2,4,"1,7","31,96","20,53","26,24","0,93","0,82"
393,82,11,15,5,0,0,3,3,3,14,2,5,"1,7","31,96","20,53","26,24","0,93","0,82"
394,79,12,15,0,1,1,2,1,2,1,2,0,"0,02","31,7","20,17","25,94","0,85","0,58"
395,87,11,22,0,0,2,3,2,2,0,0,4,"0,45","33,62","21,47","27,55","0,89","0,61"
